[0106/110108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/153619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0109/094014:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0110/112438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0110/151647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0110/153624:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0111/095450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0111/133324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0111/163630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0112/094855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0113/105626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/092003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0116/151333:ERROR:file_io.cc(30)] read: expected 4, observed 0
